No.,Height [level],Fur Density [furs/cm^2],Fur Arrangement,Number of Drops,Needle,Fur Sample,Fur Type,Fur Orientation,Replication,Camera Settings,Lighting,Names,Notes,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Droplet Velocity [m/s],Droplet Diameter [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta_pos,Delta_spread,Delta_Pen,Delta_DomeHeight,Tausp,Tausx,Taush,Tauss,Taumaxspread,Date,Filename,Initial Impact Classification,Steady-State Impact Classification,Video Quality,No. of Levels (Steady Penet Depth),No. of Levels (Max. Penet Depth),Weber #,Comments
h64,2,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,32.4,1.574074074,2.932098765,4.413580247,5.555555556,0.4703703704,2.645224201,1.327160494,0.3086419753,15.87326639,70,0.07420211749,1.203703704,-0.1851851852,2.037037037,0.8294930876,15.02304147,26.4516129,,1.066912295,03/24/2024,h5_E1_6_10,"D, W",JLRH,BAD,,,,
h65,2,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,30.3,1.353135314,1.353135314,4.917491749,6.03960396,0.5052299585,2.823046164,1.683168317,0.6270627063,7.953324129,79,0.02384373503,1.617161716,-0.198019802,2.772277228,1.048387097,20.88709677,26.20967742,,1.37207451,03/24/2024,h5_E1_6_11,"D, W",JIB,BAD,,,,
h66,2,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,,30.6,1.666666667,1.666666667,4.477124183,5.980392157,0.5037555345,2.811712322,1.405228758,0.2287581699,16.4882404,61,0.03763337363,1.176470588,-0.2287581699,2.124183007,1.013824885,20.92165899,22.02764977,,1.433306048,03/24/2024,h5_E1_6_12,"D, W",JIB,BAD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h67,2,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs: https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/PFV4/05_30_2023_E5/h5_E1_7_10_settings.JPG?csf=1&web=1&e=CqVwSD,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.1,1.958762887,1.958762887,5.085910653,6.529209622,0.5232103828,2.876400464,1.271477663,0.7560137457,22.6308982,87,0.01754758982,2.302405498,0,2.06185567,0,10.2016129,9.798387097,,5.214398283,5/30/2023,h5_E1_7_10,"D, W",JLRD,,,,,
h68,2,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs: https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/PFV4/05_30_2023_E5/h5_E1_7_11_settings.JPG?csf=1&web=1&e=otsFyo,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,30,1.933333333,1.933333333,4.833333333,6.166666667,0.5038996139,2.802778246,1.1,0.5666666667,19.56914736,94,0.03336366248,2.066666667,0,1.8,0,4.337557604,7.724654378,,1.318428898,5/30/2023,h5_E1_7_11,"D, W",JLRD,,,,,
h69,2,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs: https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/PFV4/05_30_2023_E5/h5_E1_7_12_settings.JPG?csf=1&web=1&e=xOMmtG,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.1,1.340206186,1.340206186,4.432989691,6.323024055,0.522935014,2.911294252,1.546391753,0.618556701,16.57772619,91,0.005019368167,1.512027491,0,2.680412371,0.7776497696,6.273041475,12.28686636,,1.676480072,5/30/2023,h5_E1_7_12,"D, W",JLRD,BEST,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h70,2,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,29.1,3.642611684,3.642611684,4.192439863,4.914089347,0.6117343845,2.775519022,0.2405498282,0,22.39036857,75,0.09501792798,0.9621993127,0,0.2405498282,0,9.850230415,5.357142857,,2.057100267,06/06/2023,h5_E1_8_10,"E, W",JRSH,,,,,
h71,2,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,28.2,2.907801418,3.333333333,4.503546099,4.858156028,0.6808949784,2.858816287,0,0,24.46737402,102,0.02744029772,1.560283688,0.03546099291,0,3.755760369,9.285714286,5.184331797,,2.222954944,06/06/2023,h5_E1_8_11,"E, W",DRSH,,,,,
h72,2,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,27,2.037037037,3,4.777777778,6.074074074,0.6416740939,2.998923957,0.6296296296,0.3333333333,26.47253491,66,0.008887621895,1.925925926,-0.962962963,1.222222222,1.596774194,5.785714286,6.739631336,,1.212485962,06/06/2023,h5_E1_8_12,"D, W",SDRD,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h73,2,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.2,0.6164383562,0.6849315068,3.698630137,5.856164384,0.5132353034,2.812542882,2.842465753,0.9931506849,1.062690457,90,0.02690156904,0.8561643836,0,,0,15.46658986,13.5656682,,1.399020089,03/23/2023,h5_E1_3_13,"D, W (all 3 almost ST)",JIB,,,,,
h74,2,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.4,0.6462585034,0.6462585034,3.741496599,5.816326531,0.5220067389,2.826925981,2.448979592,0.9863945578,1.505779977,84,0.1145231116,0.8843537415,0,,0,9.936635945,9.245391705,,1.477242043,03/23/2023,h5_E1_3_14,"D, W",JIB,,,,,
h75,2,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.8,0.6040268456,0.6040268456,3.724832215,5.805369128,0.5268972638,2.794192149,2.684563758,0.9395973154,1.371552395,54,0.09088374674,0.9731543624,0,,0,11.33640553,15.02304147,,1.445693594,03/23/2023,h5_E1_3_15,"D, W",JIB,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h76,2,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29,-0.03448275862,0.6896551724,3.655172414,6.034482759,0.5732383808,2.738055676,2.655172414,0.8275862069,-2.391111075,51,0.02349469126,0.8620689655,-0.6896551724,,8.605990783,15.8640553,10.26497696,,2.09359651,12/10/2023,h5_E1_4_13,"D, W (all 3 almost ST)",JIB,,,,,
h77,2,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,28.8,-0.03472222222,0.6597222222,4.097222222,6.180555556,0.559580089,2.8603493,2.569444444,0.9027777778,-0.1368212704,57,0.1060969746,1.145833333,-0.8333333333,,1.751152074,10.78341014,14.28571429,,1.565067844,12/10/2023,h5_E1_4_14,"D, W",JIB,,,,,
h78,2,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29,0.3793103448,0.7931034483,4.137931034,6.275862069,0.5088742394,2.866053577,2.586206897,1,-4.479648465,48,0.0630066664,1.172413793,-0.4827586207,,2.851382488,9.418202765,9.245391705,,1.597970181,12/10/2023,h5_E1_4_15,"D, W",JIB,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h79,2,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.4,4.047619048,4.693877551,3.945578231,4.319727891,0.5338627386,2.736414096,0.1360544218,0.1360544218,21.14534366,60,0.04810169152,1.292517007,0,,3.240207373,9.772465438,2.514400922,,1.495734023,03/23/2023,h5_E1_5_13,"E, i (tiny over)",ih,,,,,
h80,2,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.2,4.075342466,4.863013699,4.349315068,4.657534247,0.5380494687,2.740675275,0.102739726,0.102739726,21.55764735,112,0.05561100756,1.815068493,0,,4.30875576,6.612903226,1.543778802,,4.253600781,03/23/2023,h5_E1_5_14,"E, i (tiny over)",ih,,,,,
h81,2,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.2,4.075342466,4.760273973,3.97260274,4.383561644,0.5142313744,2.782353456,0,0,22.5561782,89,0.05973083798,1.369863014,0,,3.064516129,7.626728111,1.175115207,,1.355338255,03/23/2023,h5_E1_5_15,"E, i",ih,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h82,2,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,33.3,0.990990991,0.990990991,4.534534535,5.495495495,0.4683804684,2.551941036,1.591591592,0.6906906907,1.800355755,63,0.131556264,1.471471471,0.2102102102,2.582582583,2.338709677,7.016129032,16.0483871,,1.345951984,04/19/2023,h5_E1_6_13,"D, W",ST (2),,,,,
h83,2,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,33,1.848484848,1.848484848,4.484848485,5.575757576,0.4750190985,2.595164876,1.575757576,0.6363636364,4.982862157,64,0.02826023324,1.212121212,0,2.636363636,0.7603686636,13.20276498,17.48847926,,1.342293672,04/19/2023,h5_E1_6_14,"D, W",ST (2),,,,,
h84,2,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,30,1.433333333,1.433333333,3.8,5.866666667,0.5806493506,2.758340305,1.933333333,0.4,14.57455007,49,0.05854843211,1,0,3.133333333,1.555299539,34.3202765,33.69815668,,1.684054283,04/19/2023,h5_E1_6_15,"D, W",ST (2),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h85,2,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,28.8,2.083333333,2.083333333,4.756944444,6.25,0.6506892231,2.796656464,1.076388889,0.2430555556,20.94235431,62,1.06E-02,1.736111111,-0.9027777778,1.527777778,0.3168202765,5.213133641,5.3859447,,2.094001563,06/06/2023,h5_E1_7_13,"D, W",SDRD,,,,,
h86,2,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,27.9,2.150537634,2.150537634,5.698924731,6.487455197,0.6494113647,2.872510121,1.075268817,0.6810035842,22.09009181,65,0.05262496044,2.688172043,-0.2867383513,1.792114695,0.1612903226,5.322580645,6.013824885,,2.110061403,06/06/2023,h5_E1_7_14,"D, W",JLRH,,,,,
h87,2,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,28.5,1.368421053,1.438596491,5.298245614,7.263157895,0.6589783282,2.80549922,1.228070175,0.5614035088,17.94407456,72,0.04764660809,2.210526316,0,2.105263158,4.982718894,5.673963134,6.019585253,,2.34888081,06/06/2023,h5_E1_7_15,"D, W",JLRH,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h88,2,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,28.5,2.842105263,2.842105263,4.842105263,5.473684211,0.6730650155,2.823649148,0.1754385965,0,23.57549475,75,0.05438920671,2.280701754,0.0350877193,0.1754385965,1.872119816,7.459677419,7.229262673,,2.383670847,06/06/2023,h5_E1_8_13,"E, W",SDRD,,,,,
h89,2,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,28.2,2.872340426,2.872340426,4.184397163,4.680851064,0.6753246753,2.843948107,0.1063829787,0,24.087605,67,0.03159217406,1.773049645,0.03546099291,0.1063829787,5.288018433,9.573732719,8.398617512,,2.137142398,06/06/2023,h5_E1_8_14,"E, W",SDRD,,,,,
h90,2,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,30.3,2.673267327,2.673267327,4.092409241,4.653465347,0.618854929,2.651759758,0.09900990099,0,19.526803,70,0.01346002767,1.881188119,0.03300330033,0.09900990099,2.315668203,7.776497696,5.564516129,,1.789209766,06/06/2023,h5_E1_8_15,"E, W",SDRD,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h91,2,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,31.5,-0.03174603175,2.031746032,3.841269841,5.46031746,0.4847619048,2.692921194,2.412698413,0.8888888889,2.893900999,65,0.05174586261,1.142857143,-1.619047619,4.317460317,4.665898618,40.26497696,44.06682028,,1.440107214,03/23/2023,h5_E1_3_16,"T, W",JIB,,,,,
h92,2,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.7,-0.03367003367,2.323232323,4.04040404,5.824915825,0.5103025103,2.877404117,2.794612795,1.077441077,1.14185924,71,0.1006447997,1.144781145,-1.717171717,4.882154882,14.68894009,36.46313364,26.78571429,,1.537017942,03/23/2023,h5_E1_3_17,"D, W ",JIB,,,,,
h93,2,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,27.6,0.9420289855,2.644927536,4.565217391,6.231884058,0.5572133288,3.063343648,2.5,0.8333333333,8.554718619,70,0.002832306249,1.557971014,-1.014492754,4.166666667,11.92396313,32.3156682,47.17741935,,1.333912074,03/23/2023,h5_E1_3_18,"D, W",JIB,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
